rank,image_id,num_detections
1,test_00381_img.jpg,3
2,test_00000_img.jpg,1
3,test_00001_img.jpg,1
4,test_00002_img.jpg,1
5,test_00003_img.jpg,1
6,test_00004_img.jpg,1
7,test_00005_img.jpg,1
8,test_00006_img.jpg,1
9,test_00007_img.jpg,1
10,test_00008_img.jpg,1
11,test_00009_img.jpg,1
12,test_00010_img.jpg,1
13,test_00011_img.jpg,1
14,test_00012_img.jpg,1
15,test_00013_img.jpg,1
16,test_00014_img.jpg,1
17,test_00015_img.jpg,1
18,test_00016_img.jpg,1
19,test_00017_img.jpg,1
20,test_00018_img.jpg,1
21,test_00019_img.jpg,1
22,test_00020_img.jpg,1
23,test_00021_img.jpg,1
24,test_00022_img.jpg,1
25,test_00023_img.jpg,1
26,test_00024_img.jpg,1
27,test_00025_img.jpg,1
28,test_00026_img.jpg,1
29,test_00027_img.jpg,1
30,test_00028_img.jpg,1
